29160;000000055.5
33730;000000135.5
18660;000000145.5
9387;000000152.5
15801;000000153.5
33351;000000154.5
37976;000000155.5
33721;000000202.5
19421;000000204.5
17277;000000205.5
33481;000000214.5
18364;000000215.2
7228;000000215.5
16522;000000223.5
18903;000000224.5
16344;000000225.2
28970;000000225.5
20528;000000233.5
9625;000000234.5
30846;000000235.2
4371;000000235.5
24096;000000241.5
23604;000000242.5
19619;000000244.5
20931;000000245.5
19702;000000251.5
18906;000000252.5
21689;000000253.5
16734;000000254.5
28922;000000255.5
15812;000000301.5
16195;000000302.5
5831;000000303.5
20622;000000304.5
19882;000000305.5
18003;000000312.5
23262;000000313.5
27605;000000314.2
23227;000000314.5
21226;000000315.2
17742;000000315.5
16533;000000321.5
21257;000000322.5
21391;000000323.5
33423;000000324.5
20252;000000325.4
30275;000000325.5
23264;000000330.5
23065;000000331.5
30602;000000332.5
18221;000000333.5
33003;000000334.5
25053;000000335.5
9350;000000340.5
21323;000000341.5
20792;000000342.5
33191;000000343.5
16454;000000344.5
21229;000000345.2
25260;000000345.5
13248;000000350.5
23575;000000351.5
39253;000000352.5
7391;000000353.5
16840;000000354.5
24120;000000355.2
25000;000000355.5
16541;000000400.5
23067;000000401.5
29560;000000402.5
23661;000000403.5
17118;000000404.5
30398;000000405.5
21243;000000411.5
8161;000000412.5
5421;000000413.5
15113;000000414.2
21126;000000414.5
30683;000000415.2
33728;000000415.5
10331;000000420.5
17999;000000421.5
16718;000000422.5
23434;000000423.5
33157;000000424.5
2186;000000425.2
27093;000000425.5
29169;000000430.5
6984;000000431.5
24114;000000432.5
18007;000000433.5
33378;000000434.5
18901;000000435.5
23752;000000440.5
18373;000000441.5
33861;000000442.5
7242;000000443.5
33567;000000444.5
6950;000000445.2
14812;000000445.5
5811;000000450.5
17247;000000451.5
20513;000000452.5
33468;000000453.5
12805;000000454.5
32938;000000455.2
33398;000000455.5
20575;000000500.5
33574;000000501.5
33787;000000502.5
22027;000000503.5
22024;000000504.5
15287;000000505.2
7535;000000505.5
18090;000000510.5
33377;000000511.5
29529;000000512.5
23395;000000513.5
38895;000000514.2
20420;000000514.5
27406;000000515.4
21701;000000515.5
7403;000000520.5
20450;000000521.5
16805;000000522.5
6517;000000523.5
7387;000000524.5
5417;000000525.4
28286;000000525.5
15815;000000530.5
33086;000000531.5
7385;000000532.5
27174;000000533.5
34430;000000534.5
